City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Arraial Do Cabo,BR,2022-02-09 18:46:50,-22.9661,-42.0278,75.16,94,75,8.05
163,Castro Verde,PT,2022-02-09 18:47:12,37.6983,-8.0858,62.02,59,0,3.0
164,Batagay,RU,2022-02-09 18:45:32,67.6333,134.6333,-43.11,96,54,3.44
165,Weinan,CN,2022-02-09 18:47:12,34.5036,109.5089,31.69,57,90,3.0
166,Nata,PA,2022-02-09 18:47:13,8.3333,-80.5167,88.47,41,45,17.49
167,Leningradskiy,RU,2022-02-09 18:47:13,69.3833,178.4167,-26.03,96,100,9.04
168,Mandalgovi,MN,2022-02-09 18:47:14,45.7625,106.2708,2.07,90,86,8.55
169,Tailai,CN,2022-02-09 18:47:14,46.3833,123.4,1.49,98,89,4.65
170,Cobija,BO,2022-02-09 18:47:14,-11.0267,-68.7692,89.78,62,75,0.0
171,Port Lincoln,AU,2022-02-09 18:47:15,-34.7333,135.8667,61.03,75,100,6.98
172,Poltavka,RU,2022-02-09 18:47:15,54.3663,71.7632,-7.42,98,58,6.91
173,Oranjemund,NA,2022-02-09 18:47:16,-28.55,16.4333,65.44,82,0,12.84
174,Cayenne,GF,2022-02-09 18:44:10,4.9333,-52.3333,77.09,88,75,3.44
175,Chokurdakh,RU,2022-02-09 18:47:16,70.6333,147.9167,-37.16,99,71,9.06
176,Marienburg,PL,2022-02-09 18:47:17,54.0359,19.0266,50.95,85,100,15.21
177,Kavaratti,IN,2022-02-09 18:46:19,10.5669,72.642,80.33,68,100,14.25
178,Havelock,US,2022-02-09 18:47:17,34.8791,-76.9013,60.98,59,0,9.22
179,Kamenka,RU,2022-02-09 18:47:18,51.3223,42.7678,30.74,98,100,8.63
180,Bathsheba,BB,2022-02-09 18:47:18,13.2167,-59.5167,81.21,65,75,24.16
181,Gorontalo,ID,2022-02-09 18:47:19,0.5412,123.0595,75.15,94,100,3.11
182,Hobyo,SO,2022-02-09 18:47:19,5.3505,48.5268,76.87,73,100,22.32
183,Santander,ES,2022-02-09 18:47:19,43.4647,-3.8044,55.98,71,0,1.01
