City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Sulangan,PH,80.1,overcast clouds,11.1373,123.7228,Maia's Beach Resort
328,Nandurbar,IN,80.76,clear sky,21.3667,74.25,Hotel Heera Executive
333,Hervey Bay,AU,80.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
336,Gboko,NG,80.17,clear sky,7.3179,8.9951,Mavillah Apartment and Suites
337,Micheweni,TZ,82.13,overcast clouds,-4.9667,39.8333,
344,Puerto Narino,CO,75.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
346,Alugan,PH,78.26,overcast clouds,12.2188,125.4808,JM Lodge
349,Byron Bay,AU,80.06,clear sky,-28.65,153.6167,Backpackers Inn
355,Narasannapeta,IN,83.19,few clouds,18.4167,84.05,AVK events and catering
361,Kiunga,PG,75.33,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
362,Richards Bay,ZA,84.07,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
367,Aliwal North,ZA,82.33,clear sky,-30.6937,26.7114,Queens Terrace B&B
374,Mbalmayo,CM,79.2,overcast clouds,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
380,Wattegama,LK,83.32,broken clouds,6.7989,81.4808,
384,San Rafael Del Sur,NI,75.4,clear sky,11.8485,-86.4384,Hospedaje El Chino
393,Nyamuswa,TZ,75.27,light rain,-1.9,34.0167,Georgetown Monson
395,Tautira,PF,82.0,overcast clouds,-17.7333,-149.15,Pension Oaoa
398,Pandan,PH,80.19,broken clouds,14.0453,124.1694,Bonifacio Lodge
402,Kaeo,NZ,76.32,overcast clouds,-35.1,173.7833,Bushido Lodge
405,Bossangoa,CF,83.68,clear sky,6.4926,17.4552,LA PERLE DE BOSTON
409,Kalamare,BW,82.0,few clouds,-22.9337,26.5703,
413,Mitsamiouli,KM,79.83,moderate rain,-11.3847,43.2844,Foyer ADM
416,Warri,NG,84.58,clear sky,5.5167,5.75,BON Hotel Delta
419,Tual,ID,83.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
422,Mandera,KE,88.99,clear sky,3.9366,41.867,Mwalimu Guest mandera
424,Nelson Bay,AU,75.0,light rain,-32.7167,152.15,Mantra Nelson Bay
429,Tubuala,PA,75.33,overcast clouds,9.5167,-79.0333,Río Nabagana
431,Yarada,IN,84.52,haze,17.65,83.2667,Yarada Jungle Beach Resorts
433,Santa Marta,CO,80.89,few clouds,11.2408,-74.199,Casa de Isabella
