City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Araouane,ML,18.9048,-3.5265,58.68,31,96,14.83,overcast clouds
160,Kalat,PK,29.0225,66.5916,56.3,6,0,2.89,clear sky
161,Tahoua,NE,14.8888,5.2692,69.22,12,0,18.77,clear sky
162,Bustamante,MX,26.5333,-100.5,55.4,93,76,7.63,broken clouds
163,Pilar,BR,-9.5972,-35.9567,73.33,82,100,3.67,overcast clouds
164,Buluang,PH,13.3068,123.3425,83.93,65,78,6.76,broken clouds
165,Torbay,CA,47.6666,-52.7314,35.76,93,100,11.5,light intensity shower rain
166,Antalaha,MG,-14.9003,50.2788,83.26,68,28,7.27,light rain
167,Riyadh,SA,24.6877,46.7219,75.34,13,0,12.75,clear sky
168,Kalmunai,LK,7.4167,81.8167,84.0,67,57,8.86,moderate rain
169,Wajima,JP,37.4,136.9,41.74,61,63,7.87,broken clouds
170,Saint-Pierre,RE,-21.3393,55.4781,83.88,70,0,9.22,clear sky
171,Juneau,US,58.3019,-134.4197,32.0,90,100,6.91,overcast clouds
172,Nikolskoye,RU,59.7035,30.7861,32.4,94,70,8.23,broken clouds
173,Iqaluit,CA,63.7506,-68.5145,-2.31,84,100,4.18,overcast clouds
174,Aguimes,ES,27.9054,-15.4461,67.66,30,0,3.44,clear sky
175,Flinders,AU,-34.5833,150.8552,71.8,85,99,13.04,light rain
176,Atuona,PF,-9.8,-139.0333,78.08,76,50,17.72,light rain
177,Burnie,AU,-41.0667,145.9167,70.95,44,2,7.72,clear sky
178,Ambovombe,MG,-25.1667,46.0833,83.95,67,20,12.77,few clouds
179,Vila Velha,BR,-20.3297,-40.2925,73.35,94,75,6.91,light rain
180,Kavieng,PG,-2.5744,150.7967,81.84,77,83,5.68,moderate rain
181,Rawson,AR,-43.3002,-65.1023,55.67,60,7,6.71,clear sky
182,Sassandra,CI,4.95,-6.0833,80.02,84,70,2.13,light rain
183,Kamiiso,JP,41.8167,140.65,28.76,82,57,2.46,broken clouds
184,Port-Cartier,CA,50.0334,-66.8654,28.74,75,84,15.86,broken clouds
185,Luganville,VU,-15.5333,167.1667,81.66,78,100,7.61,overcast clouds
186,Caarapo,BR,-22.6342,-54.8222,65.93,83,0,3.13,clear sky
187,Ponta Do Sol,PT,32.6667,-17.1,64.71,69,85,5.12,overcast clouds
188,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,93,100,5.75,overcast clouds
189,Henties Bay,NA,-22.116,14.2845,71.64,81,100,2.62,overcast clouds
190,Portland,US,45.5234,-122.6762,48.24,90,100,3.44,overcast clouds
191,Raudeberg,NO,61.9875,5.1352,30.87,74,100,1.99,overcast clouds
192,Wexford,IE,52.3342,-6.4575,37.58,77,100,5.14,overcast clouds
193,Castro,BR,-24.7911,-50.0119,58.87,91,94,7.0,overcast clouds
194,Lasa,IT,46.6166,10.7002,36.01,74,84,4.32,broken clouds
195,Erenhot,CN,43.6475,111.9767,9.5,77,100,6.42,overcast clouds
196,Nsoko,SZ,-27.0333,31.95,88.29,32,0,4.25,clear sky
197,Vardo,NO,70.3705,31.1107,21.18,79,0,28.77,clear sky
198,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,26,0,17.27,clear sky
199,Kawalu,ID,-7.3817,108.2082,84.65,61,100,2.24,overcast clouds
200,Fairbanks,US,64.8378,-147.7164,-7.26,76,100,4.61,overcast clouds
201,Ponta Delgada,PT,37.7333,-25.6667,59.5,67,75,4.61,broken clouds
202,Souillac,MU,-20.5167,57.5167,80.37,70,20,8.1,few clouds
